Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.34,-.13,-.01,-.82,-.41,-.26,-.15,-.11,-.03,.05,.65
1881,-.07,-.16,.00,-.32,.10,-.06,-.92,-.39,-.18,.10,.10,-.04,-.07,.57
1882,-.10,-.20,-.01,-.28,-.05,.02,-1.42,-.23,-.12,-.05,-.05,.02,.04,.60
1883,-.16,-.26,-.06,-.32,-.16,-.01,-.21,-.52,-.22,-.17,-.15,-.03,.07,.48
1884,-.28,-.42,-.15,-.59,-.15,-.14,-1.35,-.61,-.44,-.13,-.17,-.19,-.02,.63
1885,-.33,-.43,-.24,-.64,-.13,-.27,-1.56,-.66,-.44,-.06,-.20,-.33,-.15,.80
1886,-.31,-.43,-.20,-.56,-.20,-.21,-1.63,-.47,-.39,-.22,-.18,-.19,-.20,.57
1887,-.36,-.43,-.28,-.51,-.30,-.28,-1.80,-.48,-.28,-.29,-.30,-.27,-.26,.30
1888,-.17,-.23,-.11,-.41,.10,-.28,-1.34,-.40,-.23,.07,.13,-.30,-.22,.13
1889,-.10,-.17,-.03,-.28,.08,-.15,-.72,-.19,-.27,.01,.15,-.14,-.15,.42
1890,-.35,-.38,-.31,-.45,-.37,-.22,-1.18,-.53,-.26,-.27,-.46,-.16,-.27,.13
1891,-.22,-.25,-.18,-.42,-.08,-.21,-1.16,-.31,-.36,.00,-.16,-.17,-.23,-.18
1892,-.27,-.39,-.15,-.42,-.30,-.07,-1.15,-.62,-.17,-.34,-.26,.03,-.21,.07
1893,-.31,-.47,-.14,-.50,-.36,-.04,-.69,-.52,-.46,-.42,-.30,.08,-.20,-.07
1894,-.30,-.39,-.20,-.32,-.33,-.23,-.96,-.32,-.18,-.49,-.17,-.13,-.34,-.40
1895,-.22,-.30,-.14,-.40,-.07,-.25,-.72,-.51,-.26,-.15,.01,-.18,-.31,-.61
1896,-.11,-.19,-.02,-.35,.10,-.14,-.90,-.36,-.22,.05,.15,-.14,-.13,.23
1897,-.10,-.16,-.04,-.35,.17,-.22,-.57,-.45,-.23,.14,.21,-.18,-.27,.38
1898,-.26,-.28,-.25,-.34,-.22,-.25,-1.18,-.20,-.22,-.18,-.25,-.26,-.20,.35
1899,-.17,-.21,-.13,-.24,-.11,-.18,-1.09,-.08,-.14,-.16,-.07,-.14,-.21,.56
1900,-.08,-.08,-.06,-.19,.17,-.29,-.58,-.12,-.14,.08,.26,-.28,-.29,.25
1901,-.15,-.13,-.17,-.16,-.03,-.30,-.47,-.10,-.14,-.06,.00,-.26,-.33,.24
1902,-.27,-.33,-.21,-.53,-.03,-.34,-1.45,-.49,-.31,-.02,-.04,-.27,-.43,-.07
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.33,-.41,-.55,-.23,-.32,-.34,-.40,-.48
1904,-.46,-.48,-.45,-.51,-.45,-.43,-.23,-.59,-.54,-.43,-.47,-.36,-.49,-1.31
1905,-.26,-.29,-.21,-.41,-.07,-.35,-.11,-.22,-.61,-.11,-.03,-.32,-.37,-.33
1906,-.22,-.24,-.20,-.26,-.18,-.23,-.33,-.05,-.38,-.21,-.15,-.19,-.22,-.70
1907,-.38,-.47,-.28,-.59,-.30,-.29,-.62,-.71,-.51,-.31,-.29,-.20,-.36,-1.19
1908,-.42,-.45,-.39,-.47,-.43,-.35,-.27,-.53,-.50,-.42,-.44,-.28,-.48,.68
1909,-.48,-.49,-.46,-.53,-.47,-.43,-.78,-.61,-.42,-.43,-.50,-.36,-.52,-.56
1910,-.42,-.44,-.41,-.41,-.47,-.37,-.60,-.23,-.47,-.48,-.47,-.32,-.45,.17
1911,-.43,-.41,-.44,-.41,-.41,-.47,-.30,-.40,-.45,-.42,-.40,-.43,-.52,.06
1912,-.35,-.45,-.23,-.58,-.17,-.36,-.51,-.77,-.48,-.26,-.06,-.36,-.29,-1.62
1913,-.34,-.42,-.25,-.43,-.26,-.34,-.51,-.32,-.49,-.39,-.13,-.27,-.40,-1.03
1914,-.14,-.19,-.09,-.24,-.05,-.17,-.38,-.15,-.27,-.11,.01,-.14,-.18,-.35
1915,-.13,-.14,-.12,-.23,.00,-.21,-.61,-.15,-.18,-.01,.01,-.14,-.23,-1.97
1916,-.35,-.42,-.29,-.36,-.44,-.22,-.50,-.53,-.23,-.50,-.38,-.22,-.17,-1.04
1917,-.45,-.58,-.35,-.49,-.63,-.18,-.84,-.49,-.42,-.70,-.56,-.22,-.09,.07
1918,-.29,-.40,-.19,-.40,-.33,-.13,-1.04,-.26,-.34,-.39,-.26,-.05,-.22,-.27
1919,-.27,-.35,-.19,-.43,-.20,-.22,-.73,-.55,-.29,-.24,-.16,-.14,-.32,.21
1920,-.27,-.30,-.23,-.25,-.25,-.32,-.05,-.19,-.34,-.39,-.11,-.18,-.48,-1.13
1921,-.19,-.12,-.26,.01,-.25,-.30,-.05,.18,-.08,-.30,-.20,-.22,-.38,-.83
1922,-.28,-.28,-.29,-.25,-.32,-.27,-.36,-.40,-.13,-.33,-.31,-.23,-.28,-.27
1923,-.26,-.22,-.30,-.15,-.30,-.33,.12,-.14,-.25,-.32,-.27,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.13,-.26,-.43,.41,-.24,-.22,-.27,-.24,-.39,-.45,-.52
1925,-.22,-.14,-.29,-.04,-.24,-.37,-.12,.19,-.17,-.28,-.20,-.24,-.55,-.85
1926,-.11,.02,-.21,.03,.01,-.40,.54,.17,-.21,.00,.02,-.34,-.45,-.63
1927,-.22,-.13,-.29,-.13,-.16,-.38,.00,-.21,-.12,-.15,-.18,-.30,-.45,-1.37
1928,-.20,-.10,-.29,-.06,-.15,-.39,.69,-.17,-.22,-.15,-.16,-.28,-.48,-2.11
1929,-.36,-.33,-.38,-.37,-.28,-.45,.12,-.61,-.37,-.28,-.28,-.42,-.44,-1.07
1930,-.15,-.01,-.28,.05,-.11,-.42,.52,.05,-.10,-.10,-.12,-.32,-.46,-2.59
1931,-.09,.05,-.22,.01,.08,-.42,.55,-.04,-.13,.10,.05,-.41,-.40,-.40
1932,-.16,-.05,-.26,.04,-.16,-.34,.47,.20,-.20,-.19,-.14,-.20,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.17,-.46,-.12,-.28,-.29,-.21,-.48,-1.14
1934,-.13,.00,-.26,.18,-.25,-.26,.87,.31,-.12,-.26,-.25,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.04,-.19,-.37,.34,-.05,-.16,-.17,-.21,-.30,-.41,-1.70
1936,-.15,-.03,-.26,-.03,-.13,-.30,.39,.10,-.25,-.05,-.22,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.06,-.22,1.23,.02,-.02,.01,-.12,-.19,-.25,.37
1938,.00,.16,-.18,.39,-.23,-.10,1.50,.38,.03,-.17,-.28,-.06,-.11,-.86
1939,-.02,.09,-.13,.22,-.12,-.12,.56,.28,.09,-.10,-.14,-.04,-.18,-1.59
1940,.13,.18,.09,.11,.28,-.07,.99,-.03,-.09,.28,.28,.03,-.20,-.05
1941,.19,.23,.16,.01,.49,-.05,.00,-.10,.09,.55,.43,.04,-.15,-.46
1942,.07,.13,.00,.13,.08,-.01,.72,-.07,.06,.12,.03,.06,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.41,.28,.11,-.10,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.19,.05,1.17,.46,.10,.11,.26,.19,-.10,-.93
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.10,.24,.04,.00,-1.76
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.02,-.08,-.22,-.24,-.15
1947,-.03,.08,-.14,.15,-.06,-.16,1.06,-.14,.05,-.03,-.10,-.19,-.08,-.19
1948,-.11,-.01,-.20,.13,-.18,-.24,.11,.31,.01,-.22,-.14,-.19,-.19,-1.36
1949,-.11,-.02,-.20,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-1.96
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.12,-.22,-.16,-.69
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.49
1953,.08,.24,-.07,.35,.08,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.01,-.14,-.28,-.17,-.20,-.80
1955,-.14,-.09,-.20,.05,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.02,.08,.21,-.15,-.16,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.08,-.16,.49,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.02,.08,-.12,.09,.02,-.20,.34,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.45,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.23,-.14,.11
1967,-.02,.03,-.07,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.15,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.06,.11,-.21,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.02,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.19,-.34,.16,.14,-.36,-.47,-.25,.07,.26,.16,-.02,.44
1973,.16,.09,.23,.11,.18,.18,.07,.27,.02,.08,.29,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.09,.65
1975,-.01,-.06,.02,.12,-.24,.15,.10,.39,-.05,-.31,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.12,.08,-.08,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.21,.21,.31,.27
1978,.07,.02,.11,-.04,.07,.16,-.15,.04,-.04,.10,.05,.20,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.07,.08,.25,.26,.29,.33,-.21
1980,.26,.17,.34,.06,.30,.39,.26,.02,.02,.32,.28,.35,.37,.58
1981,.32,.37,.27,.48,.18,.36,1.09,.79,.08,.21,.14,.28,.38,.60
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.09,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.57,.21,.41,.04
1984,.15,.04,.27,.01,.18,.26,.36,.08,-.14,.07,.29,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.02,.04,.14,.29,.44,.03
1986,.18,.13,.23,.10,.22,.19,.01,.28,.03,.17,.27,.25,.25,-.12
1987,.32,.24,.40,.04,.58,.25,-.36,.13,.12,.55,.61,.32,.25,.01
1988,.38,.37,.40,.40,.37,.39,.59,.57,.24,.32,.42,.38,.20,.86
1989,.27,.27,.27,.41,.12,.33,.34,.69,.25,.06,.18,.35,.30,.34
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.37,.36,.37,.37,.37
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.40,.31,.29,.95
1992,.22,.13,.30,.09,.28,.26,-.17,.44,-.04,.19,.36,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.28,.35,.26,.39,-.29
1994,.31,.37,.26,.43,.31,.20,.34,.50,.42,.28,.33,.26,.23,-.05
